Open,High,Low,Close
77,77,74,76
76,81,73,79
79,84,76,82
82,87,80,85
85,90,82,88
88,88,86,87
87,87,84,86
86,87,85,85
85,85,81,84
84,85,81,83
83,84,82,82
82,83,79,81
81,81,77,80
80,82,79,79
79,79,75,78
78,78,75,77
77,80,76,80
80,81,78,79
79,84,77,82
82,87,81,85
85,86,84,84
84,86,81,83
83,87,81,86
86,90,83,89
89,89,87,88
88,89,85,87
87,88,84,86
86,88,85,85
85,89,82,88
88,93,85,91
91,96,90,94
94,96,93,93
93,93,91,92
92,92,89,91
91,93,89,90
90,91,87,89
89,89,87,88
88,89,87,87
87,87,83,86
86,87,85,85
85,90,84,88
88,89,85,87
87,90,84,90
90,92,88,89
89,93,88,92
