Open,High,Low,Close
20,25,17,23
23,26,20,26
26,27,23,25
25,29,22,28
28,33,25,31
31,35,28,34
34,38,32,37
37,39,34,36
36,37,35,35
35,38,34,38
38,43,36,41
41,42,39,40
40,41,38,39
39,42,38,42
42,42,38,41
41,41,39,40
40,45,37,43
43,44,41,42
42,45,39,45
45,50,44,48
48,50,46,47
47,50,44,50
50,54,49,53
53,55,52,52
52,54,50,51
51,56,49,54
54,56,52,53
53,55,50,52
52,54,50,51
51,53,48,50
50,51,47,49
49,54,48,52
52,57,51,55
55,56,53,54
54,58,52,57
57,57,53,56
56,58,54,55
55,57,53,54
54,54,50,53
53,53,50,52
52,52,48,51
51,52,49,50
50,51,49,49
49,50,46,48
48,49,47,47
