Open,High,Low,Close
86,90,83,89
89,90,88,88
88,90,85,87
87,89,84,86
86,87,83,85
85,90,82,88
88,88,85,87
87,91,84,90
90,92,88,89
89,93,87,92
92,96,91,95
95,99,92,98
98,98,95,97
97,101,95,100
100,100,97,99
99,101,98,98
98,98,94,97
97,100,94,100
100,102,98,99
99,101,96,98
98,98,96,97
97,97,93,96
96,98,94,95
95,97,93,94
94,94,90,93
93,96,90,96
96,96,94,95
95,96,93,94
94,94,90,93
93,93,89,92
92,93,90,91
91,94,89,94
94,96,91,93
93,94,92,92
92,93,90,91
91,95,90,94
94,94,91,93
93,96,92,96
96,99,93,99
99,104,97,102
102,103,100,101
101,104,98,104
104,106,101,103
103,105,102,102
102,102,98,101
