Open,High,Low,Close
20,23,19,23
23,25,20,22
22,24,21,21
21,23,20,20
20,23,19,23
23,27,22,26
26,31,25,29
29,34,26,32
32,34,29,31
31,36,28,34
34,37,33,37
37,37,34,36
36,36,33,35
35,39,32,38
38,40,37,37
37,38,34,36
36,39,33,39
39,44,38,42
42,44,40,41
41,41,38,40
40,42,37,39
39,43,36,42
42,45,41,45
45,46,44,44
44,44,42,43
43,48,41,46
46,51,43,49
49,52,47,52
52,54,49,51
51,55,48,54
54,59,52,57
57,58,54,56
56,60,53,59
59,59,57,58
58,61,57,61
61,63,59,60
60,60,56,59
59,64,56,62
62,66,60,65
65,70,63,68
68,69,67,67
67,67,64,66
66,69,64,69
69,73,66,72
72,77,69,75
