Open,High,Low,Close
23,27,20,26
26,26,22,25
25,28,22,28
28,28,26,27
27,27,24,26
26,28,25,25
25,27,22,24
24,24,21,23
23,24,21,22
22,24,19,21
21,21,17,20
20,24,18,23
23,27,20,26
26,30,24,29
29,29,26,28
28,29,26,27
27,30,26,30
30,31,28,29
29,34,28,32
32,37,29,35
35,36,34,34
34,34,31,33
33,35,32,32
32,32,28,31
31,31,29,30
30,32,27,29
29,32,27,32
32,34,29,31
31,34,28,34
34,34,31,33
33,33,31,32
32,32,30,31
31,35,28,34
34,38,33,37
37,38,36,36
36,36,34,35
35,35,32,34
34,37,31,37
37,42,36,40
40,42,38,39
39,44,38,42
42,45,41,45
45,47,43,44
44,45,41,43
43,45,40,42
