Open,High,Low,Close
57,60,54,60
60,63,57,63
63,63,59,62
62,65,61,65
65,67,62,64
64,68,62,67
67,67,63,66
66,68,65,65
65,66,62,64
64,69,63,67
67,68,64,66
66,66,62,65
65,65,62,64
64,66,62,63
63,68,61,66
66,69,65,69
69,74,68,72
72,73,71,71
71,71,68,70
70,75,68,73
73,75,72,72
72,72,68,71
71,74,69,74
74,78,73,77
77,78,76,76
76,79,75,79
79,81,76,78
78,81,75,81
81,85,78,84
84,88,81,87
87,91,86,90
90,91,88,89
89,93,86,92
92,96,89,95
95,97,94,94
94,96,91,93
93,93,91,92
92,97,89,95
95,96,92,94
94,98,93,97
97,99,95,96
96,96,93,95
95,97,92,94
94,98,92,97
97,102,95,100
