Open,High,Low,Close
17,22,16,20
20,23,19,23
23,26,20,26
26,29,24,29
29,32,26,32
32,36,30,35
35,39,33,38
38,40,35,37
37,42,36,40
40,44,39,43
43,47,40,46
46,48,43,45
45,46,42,44
44,45,43,43
43,44,40,42
42,43,41,41
41,45,38,44
44,47,41,47
47,50,46,50
50,53,47,53
53,57,51,56
56,60,53,59
59,64,56,62
62,66,59,65
65,65,63,64
64,67,63,67
67,69,65,66
66,67,64,65
65,70,62,68
68,72,66,71
71,74,70,74
74,77,72,77
77,80,76,80
80,83,77,83
83,86,82,86
86,90,84,89
89,92,86,92
92,94,91,91
91,92,88,90
90,95,88,93
93,93,89,92
92,94,90,91
91,93,89,90
90,91,88,89
89,94,87,92
