Open,High,Low,Close
71,71,69,70
70,75,68,73
73,78,72,76
76,76,74,75
75,75,72,74
74,78,72,77
77,79,76,76
76,79,73,79
79,84,77,82
82,83,81,81
81,81,78,80
80,81,78,79
79,81,78,78
78,81,76,81
81,84,80,84
84,89,82,87
87,88,84,86
86,86,82,85
85,87,83,84
84,87,82,87
87,87,84,86
86,87,85,85
85,86,84,84
84,88,82,87
87,92,84,90
90,92,88,89
89,93,87,92
92,95,90,95
95,96,92,94
94,94,92,93
93,97,92,96
96,100,95,99
99,102,96,102
102,102,100,101
101,102,100,100
100,104,98,103
103,106,100,106
106,108,105,105
105,105,101,104
104,107,102,107
107,111,106,110
110,115,109,113
113,116,111,116
116,117,114,115
115,116,112,114
