Open,High,Low,Close
35,39,33,38
38,43,37,41
41,46,39,44
44,46,41,43
43,46,42,46
46,48,43,45
45,46,43,44
44,49,42,47
47,52,44,50
50,53,48,53
53,53,50,52
52,57,50,55
55,59,54,58
58,61,57,61
61,66,59,64
64,68,61,67
67,71,66,70
70,74,69,73
73,75,70,72
72,75,69,75
75,75,71,74
74,77,71,77
77,80,74,80
80,84,78,83
83,88,82,86
86,86,83,85
85,86,82,84
84,86,81,83
83,88,80,86
86,88,85,85
85,88,84,88
88,92,85,91
91,95,88,94
94,95,92,93
93,94,92,92
92,96,90,95
95,96,92,94
94,95,92,93
93,97,90,96
96,100,93,99
99,103,97,102
102,105,99,105
105,108,103,108
108,108,104,107
107,111,104,110
