Open,High,Low,Close
46,51,45,49
49,49,45,48
48,49,45,47
47,52,46,50
50,50,47,49
49,53,46,52
52,55,51,55
55,60,54,58
58,61,56,61
61,62,60,60
60,65,57,63
63,67,61,66
66,66,62,65
65,65,62,64
64,66,63,63
63,68,61,66
66,70,64,69
69,72,66,72
72,77,69,75
75,75,72,74
74,76,71,73
73,78,71,76
76,81,75,79
79,80,77,78
78,80,77,77
77,81,76,80
80,82,78,79
79,83,77,82
82,85,79,85
85,88,82,88
88,91,87,91
91,91,89,90
90,92,89,89
89,90,86,88
88,89,86,87
87,91,86,90
90,92,88,89
89,91,88,88
88,91,85,91
91,91,89,90
90,91,87,89
89,93,87,92
92,94,90,91
91,95,90,94
94,99,93,97
