Open,High,Low,Close
10,11,9,9
9,10,6,8
8,11,6,11
11,16,8,14
14,18,13,17
17,20,16,20
20,20,17,19
19,20,18,18
18,21,15,21
21,25,18,24
24,27,21,27
27,30,26,30
30,30,26,29
29,34,28,32
32,37,30,35
35,38,34,38
38,42,37,41
41,42,38,40
40,43,39,43
43,43,39,42
42,46,41,45
45,46,44,44
44,49,42,47
47,48,46,46
46,47,43,45
45,47,42,44
44,44,40,43
43,43,40,42
42,46,39,45
45,47,44,44
44,48,42,47
47,50,45,50
50,55,49,53
53,54,52,52
52,54,49,51
51,52,50,50
50,50,48,49
49,50,47,48
48,52,46,51
51,53,49,50
50,52,47,49
49,52,47,52
52,52,48,51
51,53,50,50
50,50,47,49
